,did,short,n_class,mean_f1_xgb,mean_f1_catb,mean_f1_lgb,mean_f1_rf,mean_f1_etc,mean_f1_cart,mean_f1_lda,mean_f1_knn,mean_f1_wpKNN,mean_f1_gnb,mean_f1_ftt,mean_acc_xgb,mean_acc_catb,mean_acc_lgb,mean_acc_rf,mean_acc_etc,mean_acc_cart,mean_acc_lda,mean_acc_knn,mean_acc_wpKNN,mean_acc_gnb,mean_acc_ftt,mean_auc_xgb,mean_auc_catb,mean_auc_lgb,mean_auc_rf,mean_auc_etc,mean_auc_cart,mean_auc_lda,mean_auc_knn,mean_auc_wpKNN,mean_auc_gnb,mean_auc_ftt,dur_total_xgb,dur_total_catb,dur_total_lgb,dur_total_rf,dur_total_etc,dur_total_cart,dur_total_lda,dur_total_knn,dur_total_wpKNN,dur_total_gnb,dur_total_ftt
26,46515,financial-risk-assessment,3.0,0.3045139033599493,0.2517475519083032,0.2686212935487738,0.2796310943049529,0.2999292367684014,0.3296154606905304,0.25,0.3335190849897586,0.3256821978302084,0.25,0.2506446152925491,0.5627666666666667,0.5990666666666667,0.5913333333333334,0.5857666666666665,0.5676333333333333,0.4426666666666667,0.5999999999999999,0.4564,0.5192,0.5999999999999999,0.5995395421981812,0.5026445469576719,0.4998675145502646,0.5029398108465608,0.5089568119488537,0.5115748672839506,0.4963214285714286,0.5023367451499119,0.499077380952381,0.5000029217372134,0.5044631781305116,0.5039716303348541,0.1599684953689575,0.9446631669998169,0.126072883605957,1.041662693023682,1.716948866844177,0.05170464515686035,0.001024365425109863,0.05408942699432373,0.3014129400253296,0.0,45.84851372241974
27,285,flags,6.0,0.5596838480956274,0.4951646140319764,0.5662593211389034,0.556162080981082,0.5160951550364886,0.5169402606723579,0.4435860440442484,0.326820998323769,0.3404576300672119,0.4518740974654288,0.175308595597744,0.6894736842105262,0.6473684210526316,0.7000000000000001,0.6973684210526315,0.6473684210526316,0.6236842105263158,0.5473684210526315,0.4421052631578948,0.4605263157894736,0.5421052631578946,0.3539115607738495,0.9189344743164778,0.9091391261186466,0.917810582468371,0.932201871122181,0.9004740351965523,0.764796663909567,0.7982376517441245,0.645477027452834,0.7266536170865543,0.8107759327366182,0.6260558187961578,0.09060931205749512,0.9991096258163452,0.03988897800445557,0.07750856876373291,0.1208418607711792,0.0,0.001033306121826172,0.0,0.0,0.0,1.217991948127747
28,46184,flare,6.0,0.6207057198806643,0.6133593602748918,0.6126242702504803,0.6143376117305667,0.6050490318927177,0.6081289714532405,0.6240729316160591,0.569053113903656,0.5850303111066945,0.5464318801507002,0.5484613358974457,0.7341121495327102,0.7411214953271028,0.7294392523364486,0.7313084112149533,0.72803738317757,0.7275700934579439,0.7429906542056075,0.6794392523364485,0.7172897196261682,0.6883177570093457,0.6935815036296844,0.9283663286345402,0.9383477601281636,0.9318963619801309,0.9245615030376391,0.9031914730699471,0.8811681999799561,0.9257610220948239,0.8046579235537752,0.9030852791021144,0.9216837381047321,0.9077801287174225,0.1373010873794556,0.9252381324768066,0.1191097497940063,0.09138643741607666,0.1424638032913208,0.0,0.001093268394470215,0.0,0.01601803302764893,0.0,2.828413248062134
29,46764,football-player-position,4.0,0.8455938584309581,0.8516759017809059,0.8483352318139701,0.8475926192548862,0.8466026769916872,0.7794493422156459,0.8376097385557968,0.6674950264613273,0.7141029378888109,0.7910052156868266,0.8345936238765717,0.8315352697095435,0.8380359612724757,0.8344398340248962,0.8331950207468879,0.8329183955739972,0.7598893499308437,0.8225449515905947,0.6506224066390042,0.7038727524204702,0.7733056708160442,0.8217213869094848,0.9542020945855862,0.9581575993750759,0.9557985768872884,0.9542004586393272,0.9561366626694733,0.8180774594755219,0.9380529938920311,0.7358412555156875,0.8502515961918323,0.9145168308194741,0.9607166290283203,0.1429557800292969,1.000810623168945,0.1530708074569702,0.4094318151473999,0.3801379203796387,0.01587784290313721,0.0,0.0,0.06341898441314697,0.0,10.27071130275726
30,46780,golub-1999-v2,3.0,0.9232833234303822,0.8842142443613031,0.9164411840882429,0.8575267379679146,0.8983764111705289,0.8020385551267903,0.8648459383753501,0.8930081181861368,0.914488017429194,0.5843183381805672,0.2787312924861908,0.9266666666666667,0.8933333333333333,0.9400000000000001,0.9199999999999999,0.9266666666666665,0.8266666666666665,0.8866666666666667,0.9000000000000001,0.9266666666666667,0.7666666666666667,0.47207792699337,0.9889597069597069,0.9477948717948719,0.9877948717948717,0.9905787545787547,0.9930695970695972,0.8653846153846153,0.9750549450549449,0.9004395604395606,0.9983809523809523,0.761904761904762,0.5349643498659133,0.156072735786438,1.963210821151733,0.06345105171203613,0.102239727973938,0.1108908653259277,0.009049773216247559,0.01243722438812256,0.004504561424255371,0.0,0.0,0.8854262828826904
31,329,hayes-roth,3.0,0.7847831818648828,0.8277050205795833,0.8224492515277124,0.8211881575214909,0.8247159724610998,0.8231291447636824,0.5240772494575593,0.6829556489967091,0.6561977733536872,0.6640540499894941,0.5110510289669037,0.75625,0.79375,0.796875,0.784375,0.7875,0.790625,0.5,0.7,0.66875,0.6375,0.4968253910541535,0.932774544534413,0.945065789473684,0.9456287955465588,0.9231907894736843,0.8751644736842106,0.8771381578947368,0.7102226720647773,0.7480769230769232,0.855285298582996,0.8170546558704453,0.7204468846321106,0.04527890682220459,0.8344626426696777,0.01514923572540283,0.06301712989807129,0.09773731231689453,0.0,0.0,0.0,0.0,0.0,0.6303818225860596
32,1565,heart-h,5.0,0.3401722721709389,0.3480590139673746,0.3054104044655909,0.3578551184720482,0.3581045876104173,0.2999394750332955,0.328946879131614,0.1941523026986391,0.1917121541284879,0.2263138834731958,0.2441378459334373,0.6338983050847458,0.6847457627118644,0.635593220338983,0.6813559322033897,0.6661016949152543,0.5694915254237289,0.6305084745762712,0.4830508474576271,0.58135593220339,0.2932203389830509,0.6210807859897614,0.8067400608014614,0.8356783185013118,0.8025028117129173,0.8269081560694929,0.8230387757370489,0.6581034356977753,0.8232062143638734,0.5529383221600203,0.6138948891187459,0.7422589461344659,0.7084027349948883,0.05072879791259766,0.9437185525894165,0.0499107837677002,0.07907986640930176,0.1089615821838379,0.001037120819091797,0.0,0.0,0.0,0.0,1.220731973648071
33,1513,heart-switzerland,5.0,0.2760002434113351,0.247784901652542,0.2354144520620493,0.2570802328674451,0.2455455328984741,0.2334372911230496,0.228261245187561,0.2292602376983182,0.1916298304423624,0.1190216245742562,0.1667000308632851,0.384,0.412,0.36,0.408,0.392,0.372,0.356,0.344,0.328,0.12,0.3530244469642639,0.613189168573608,0.6224311212814646,0.5797128146453089,0.6366864988558353,0.599940465293669,0.5631864988558352,0.5767360030511061,0.5450448131197559,0.5648848588863464,0.5127032799389779,0.5375679761171341,0.07392525672912598,0.9528487920761108,0.01720821857452393,0.07703685760498047,0.1029574871063232,0.0,0.0,0.0,0.0,0.0,0.7528702020645142
34,41169,helena,100.0,0.2123575665388739,0.1725997583233276,0.01969529253204249,0.2037173368076668,0.2052771191699899,0.1169841711566224,0.1444790667762678,0.08965011327093322,0.09707226498181197,0.1122997956810588,0.1655702322721481,0.3403757668711657,0.3415260736196318,0.06115030674846626,0.3629984662576687,0.3595858895705521,0.2204601226993865,0.3004907975460122,0.1772776073619632,0.2112730061349693,0.231111963190184,0.339960852265358,0.8774831145931934,0.8927249610209923,0.5185131501886986,0.8581033073413119,0.8688770513673889,0.6023025733930807,0.8567767759951362,0.5799176561247377,0.6582523842788796,0.8333514122369774,0.8737966895103455,28.33225297927856,9.257176160812378,12.35623979568481,81.33512139320374,32.46410894393921,6.447252750396729,0.06362032890319824,0.4375505447387695,5.371741414070129,0.2371804714202881,242.4420953989029
35,1087,hepatitis-c,3.0,0.5570281396937847,0.5419211447349541,0.5879726383308947,0.5255582018717371,0.5596154543470363,0.5202964336844078,0.7606685570096573,0.7243387861269946,0.626496138049179,0.7022687688608642,0.3788880050182343,0.8929824561403507,0.8842105263157893,0.8999999999999998,0.8894736842105264,0.8982456140350876,0.8228070175438595,0.9210526315789475,0.8964912280701753,0.8982456140350876,0.9122807017543859,0.8452661156654357,0.9127068851373717,0.8925438596491228,0.9164349553128103,0.8916956305858988,0.9083974677259186,0.6606132075471699,0.9325140681893412,0.801061320754717,0.8633978814961933,0.7788253061900033,0.6397813260555267,61.53163313865662,75.41786253452301,31.03814923763275,1.606462121009827,1.524694323539734,3.952667355537415,1.324730515480042,0.1256049871444702,0.8304109573364258,0.1586893796920776,9.540820360183716
