,did,short,RF,XGB,ETC,LGB,LCN[XGB]+,LCPN[ETC]+F[XGB],LCPN[RF]+F[XGB],LCPN[XGB]+F[RF],LCL[XGB]+F[RF],LCPN[RF]+F[RF],LCL[RF]+F[XGB],LCPN[LGB]+F[XGB],LCPN[XGB]+F[XGB]
21,43035,dgf,0.6104±0.0533,0.6355±0.0690,0.6394±0.0533,0.6333±0.0725,0.6352±0.0960,0.6506±0.0920,0.6347±0.0676,0.6151±0.0719,0.6151±0.0719,0.6265±0.0765,0.6491±0.0936,0.6391±0.0693,0.6381±0.0683
22,45069,diabetes-130-us,0.3920±0.0024,0.4066±0.0031,0.3906±0.0023,0.3999±0.0033,0.3563±0.0028,0.3481±0.0023,0.3505±0.0022,0.3426±0.0027,0.3426±0.0027,0.3414±0.0034,0.3505±0.0022,0.3526±0.0026,0.3559±0.0020
23,694,diggle-table-a2,0.9585±0.0304,0.9628±0.0144,0.9747±0.0186,0.9791±0.0113,0.9690±0.0175,0.9644±0.0143,0.9643±0.0143,0.9731±0.0168,0.9731±0.0168,0.9691±0.0188,0.9643±0.0143,0.9687±0.0123,0.9643±0.0143
24,46480,eda-mortgage-ny,0.5001±0.0036,0.4850±0.0031,0.4927±0.0031,0.4824±0.0038,0.4681±0.0051,0.4861±0.0036,0.4823±0.0022,0.4845±0.0042,0.4702±0.0055,0.4934±0.0035,0.4754±0.0069,0.4701±0.0020,0.4733±0.0028
25,1472,energy-efficiency,0.6951±0.0253,0.6972±0.0373,0.6870±0.0363,0.6857±0.0261,0.6951±0.0388,0.7036±0.0372,0.6946±0.0417,0.6948±0.0309,0.6906±0.0314,0.6978±0.0359,0.6934±0.0430,0.6925±0.0392,0.7050±0.0257
26,46515,financial-risk-assessment,0.2796±0.0039,0.3045±0.0065,0.2999±0.0117,0.2686±0.0032,0.3098±0.0115,0.3081±0.0184,0.3076±0.0192,0.2942±0.0216,0.2942±0.0216,0.2955±0.0227,0.3076±0.0192,0.3075±0.0185,0.3093±0.0163
27,285,flags,0.5562±0.0746,0.5597±0.0591,0.5161±0.0586,0.5663±0.1027,0.5712±0.0675,0.5833±0.0612,0.5741±0.0580,0.5922±0.0808,0.6016±0.0659,0.6064±0.0999,0.5834±0.0671,0.5622±0.0653,0.5638±0.0605
28,46184,flare,0.6143±0.0239,0.6207±0.0187,0.6050±0.0166,0.6126±0.0280,0.6127±0.0248,0.6235±0.0212,0.6212±0.0202,0.6152±0.0255,0.6118±0.0238,0.6057±0.0315,0.6212±0.0200,0.6190±0.0205,0.6200±0.0190
29,46764,football-player-position,0.8476±0.0134,0.8456±0.0152,0.8466±0.0184,0.8483±0.0124,0.8491±0.0128,0.8495±0.0133,0.8479±0.0132,0.8507±0.0113,0.8507±0.0113,0.8484±0.0088,0.8475±0.0136,0.8501±0.0157,0.8488±0.0146
30,46780,golub-1999-v2,0.8575±0.1599,0.9233±0.0789,0.8984±0.1400,0.9164±0.1282,0.9065±0.0629,0.9250±0.0675,0.9301±0.0671,0.8371±0.1300,0.8371±0.1300,0.8444±0.1349,0.9301±0.0671,0.9351±0.0663,0.9351±0.0663
31,329,hayes-roth,0.8212±0.0303,0.7848±0.0417,0.8247±0.0573,0.8224±0.0793,0.8020±0.0528,0.8160±0.0474,0.8177±0.0452,0.8212±0.0303,0.8212±0.0303,0.8212±0.0303,0.8177±0.0452,0.8177±0.0452,0.8137±0.0392
32,1565,heart-h,0.3579±0.0385,0.3402±0.0646,0.3581±0.0673,0.3054±0.0637,0.2958±0.0667,0.3602±0.0564,0.3579±0.0562,0.3459±0.0475,0.3459±0.0475,0.3448±0.0469,0.3586±0.0610,0.3474±0.0549,0.3512±0.0702
33,1513,heart-switzerland,0.2571±0.0463,0.2760±0.0837,0.2455±0.0646,0.2354±0.0555,0.2420±0.0773,0.2883±0.0886,0.2878±0.0842,0.2742±0.0510,0.2709±0.0482,0.2570±0.0596,0.2826±0.0822,0.2764±0.0680,0.2992±0.0714
34,41169,helena,0.2037±0.0044,0.2124±0.0047,0.2053±0.0051,0.0197±0.0083,0.1903±0.0052,0.2169±0.0033,0.2152±0.0039,0.2102±0.0032,0.1837±0.0071,0.1991±0.0036,0.1810±0.0059,0.2167±0.0036,0.2199±0.0045
35,1087,hepatitis-c,0.5256±0.0714,0.5570±0.0762,0.5596±0.0546,0.5880±0.0833,0.6150±0.0925,0.5922±0.0498,0.5922±0.0498,0.5773±0.0623,0.5773±0.0623,0.5746±0.0661,0.5922±0.0498,0.6038±0.0514,0.5700±0.0598
